TIME;AREA_T1_A1;CELLS_T1_A1;AREA_T1_A2;CELLS_T1_A2;AREA_T1_A3;CELLS_T1_A3
490;31.01632835;4248.318078;29.13714057;3492.945897;0.651285709;0.034999669
500;33.07517007;5199.692426;30.79551015;4154.146447;1.127704069;0.181982369
510;36.17683463;6902.552957;32.00586157;4688.755454;1.047928782;0.145989858
520;38.41564964;8354.037613;33.58796584;5458.079113;1.425425495;0.367885642
530;35.21633978;6338.5811;41.91108521;11037.92263;1.460526808;0.395784946
540;41.71260426;10870.91287;44.51239925;13402.04921;1.019528591;0.134426272
550;46.40913742;15343.28548;46.88683214;15862.87163;1.54381207;0.467558536
560;48.12973163;17275.17735;46.01057982;14919.39416;1.437870473;0.377621567
570;44.73257901;13617.66393;49.21595235;18583.35633;1.633160537;0.55369464
580;40.58170931;9953.802776;48.94599268;18251.63651;2.163187873;1.288977748
590;52.32017015;22727.45415;50.64073993;20408.5837;2.701192685;2.514337386
600;50.88229941;20730.7399;54.77086809;26458.65633;2.667687075;2.421653222
610;52.88880851;23555.48785;55.32482785;27362.47445;3.201862563;4.194759677
620;54.51239613;26044.76682;60.64935247;37307.42968;2.671835228;2.433001904
630;53.74080905;24838.27921;62.02116899;40273.3222;3.705404499;6.512614722
640;54.17159591;25506.54901;61.57410808;39287.15268;3.758375298;6.797167484
650;52.33740145;22752.22061;61.33063381;38758.12001;4.24628111;9.81936148
660;50.58585434;20335.90743;62.93188418;42342.6683;3.876761874;7.462969195
670;51.04185025;20945.58948;61.40051683;38909.38923;3.970577582;8.020575054
680;52.35878117;22782.97764;61.40051683;38909.38923;4.67706797;13.14088437
690;50.32195761;19989.1519;61.40051683;38909.38923;7.476543604;54.20815768
700;53.13132552;23915.43163;61.40051683;38909.38923;7.189352624;48.14929079
710;53.06686701;23819.36213;61.40051683;38909.38923;7.836170832;62.49252852
720;52.64022856;23190.78014;61.40051683;38909.38923;7.265298587;49.70471496
730;46.39956424;15333.00184;45.15379269;14037.15831;10.20868919;139.3563816
740;37.08914527;7470.329608;46.34914641;15278.92548;9.956599003;129.1674702
750;38.45649455;8382.374313;50.58840731;20339.28365;9.604949512;115.8119272
